number,name,date_obs,shortbib
38.0,Leda,1997-02-27,Bus and Binzel 2002
39.0,Laetitia,1996-09-08,Bus and Binzel 2002
40.0,Harmonia,1996-02-08,Bus and Binzel 2002
41.0,Daphne,1994-03-28,Bus and Binzel 2002
42.0,Isis,1994-11-05,Bus and Binzel 2002
43.0,Ariadne,1997-01-18,Bus and Binzel 2002
44.0,Nysa,1994-11-05,Bus and Binzel 2002
44.0,Nysa,1998-10-14,Bus and Binzel 2002
44.0,Nysa,1998-10-15,Bus and Binzel 2002
44.0,Nysa,1998-12-09,Bus and Binzel 2002
45.0,Eugenia,1996-04-19,Bus and Binzel 2002
45.0,Eugenia,1996-04-20,Bus and Binzel 2002
46.0,Hestia,1994-11-05,Bus and Binzel 2002
46.0,Hestia,1995-02-09,Bus and Binzel 2002
47.0,Aglaja,1994-11-05,Bus and Binzel 2002
48.0,Doris,1995-12-10,Bus and Binzel 2002
49.0,Pales,1996-04-18,Bus and Binzel 2002
50.0,Virginia,1997-02-24,Bus and Binzel 2002
51.0,Nemausa,1995-12-15,Bus and Binzel 2002
52.0,Europa,1994-02-20,Bus and Binzel 2002
54.0,Alexandra,1994-02-20,Bus and Binzel 2002
55.0,Pandora,1996-09-11,Bus and Binzel 2002
56.0,Melete,1994-02-20,Bus and Binzel 2002
57.0,Mnemosyne,1997-02-22,Bus and Binzel 2002
58.0,Concordia,1996-01-29,Bus and Binzel 2002
58.0,Concordia,1997-01-17,Bus and Binzel 2002
59.0,Elpis,1995-12-08,Bus and Binzel 2002
60.0,Echo,1996-04-30,Bus and Binzel 2002
61.0,Danae,1994-11-05,Bus and Binzel 2002
62.0,Erato,1994-01-06,Bus and Binzel 2002
63.0,Ausonia,1994-03-31,Bus and Binzel 2002
64.0,Angelina,1997-01-17,Bus and Binzel 2002
64.0,Angelina,1997-04-14,Bus and Binzel 2002
65.0,Cybele,1994-02-19,Bus and Binzel 2002
66.0,Maja,1997-11-23,Bus and Binzel 2002
67.0,Asia,1996-04-18,Bus and Binzel 2002
67.0,Asia,1996-04-25,Bus and Binzel 2002
69.0,Hesperia,1996-05-01,Bus and Binzel 2002
69.0,Hesperia,1998-10-14,Bus and Binzel 2002
70.0,Panopaea,1993-08-23,Bus and Binzel 2002
70.0,Panopaea,1994-11-14,Bus and Binzel 2002
71.0,Niobe,1994-11-05,Bus and Binzel 2002
71.0,Niobe,1995-10-28,Bus and Binzel 2002
74.0,Galatea,1994-02-23,Bus and Binzel 2002
