name,number,inst,run,filename
2005 AB,452561,spex,sp38,au2005AB.sp38.txt
2002 CD,141424,spex,sp38,au2002CD.sp38.txt
Magellan,4055,spex,sp38,a004055.sp38.txt
Kolga,191,spex,sp38,a000191.sp38.txt
Anza,2061,spex,sp243,a002061.sp243n1.txt
2017 YE5,,spex,sp243,au2017ye5.sp243n1.txt
2001 KB67,68347,spex,sp243,a068347.sp243n2.txt
2005 NW44,469737,spex,sp243,a469737.sp243n2.txt
Moshup,66391,spex,sp243,a066391.sp243n2.txt
2017 YE5,,spex,sp243,au2017ye5.sp243n2.txt
Ondaatje,6569,spex,sp243,a006569.sp243n2.txt
2000 LY27,67367,spex,sp243,a067367.sp243n2.txt
Ivar,1627,spex,sp243,a001627.sp243n2.txt
2015 DP155,,spex,sp243,au2015dp155.sp243n2.txt
2005 UK1,242708,spex,sp243,a242708.sp243n2.txt
Eros,433,spex,sp15,a000433.sp15.txt
Pauling,4674,spex,sp109,a004674.sp109.txt
2012 LZ1,,spex,sp109,au2012lz1.sp109.txt
2012 KP24,,spex,sp109,au2012kp24.sp109.txt
2012 KT42,,spex,sp109,au2012kt42.sp109.txt
2011 WV134,500080,spex,sp109,au2011wv134.sp109.txt
2004 TY16,170891,spex,sp66,a170891.sp66.txt
2001 SN263,153591,spex,sp66,a153591.sp66.txt
2003 ED50,523598,spex,sp21,au2003ED50.sp21.txt
2001 MZ7,54789,spex,sp21,a054789.sp21.txt
Cacus,161989,spex,sp21,au1978CA.sp21.txt
2003 AJ73,416231,spex,sp21,au2003AJ73.sp21.txt
2020 QW,,spex,sp270,au2020qw.sp270n2.txt
1990 SP,5645,spex,sp270,a005645.sp270n2.txt
2010 DF1,411165,spex,sp270,a411165.sp270n2.txt
2020 PS,,spex,sp270,au2020ps.sp270n1.txt
2019 AN5,,spex,sp270,au2019an5.sp270n1.txt
1999 AN10,137108,spex,sp270,a137108.sp270n1.txt
1997 WB21,380128,spex,sp270,a380128.sp270n1.txt
2020 PS,,spex,sp270,au2020ps.sp270n2.txt
Bruchsalia,455,spex,sp283,a000455.sp283n2.txt
2021 JT5,,spex,sp283,au2021jt5.sp283n1.txt
2004 LJ1,159857,spex,sp283,a159857.sp283n3.txt
2009 SD229,445267,spex,sp283,a445267.sp283n2.txt
2013 XE4,,spex,sp283,au2013xe4.sp283n2.txt
2006 MW1,,spex,sp283,au2006mw1.sp283n1.txt
2002 LS32,483471,spex,sp283,a483471.sp283n2.txt
2003 HA22,302871,spex,sp283,a302871.sp283n3.txt
2001 MQ3,283457,spex,sp07,au2001MQ3.sp07.txt
Boreas,1916,spex,sp07,a001916.sp07.txt
Davidaguilar,5332,spex,sp47,a005332.sp47.txt
2005 QE166,402267,spex,sp47,au2005QE166.sp47.txt
2005 UL5,413577,spex,sp47,au2005UL5.sp47.txt
Andromache,175,spex,sp47,a000175.sp47.txt
Dike,99,spex,sp47,a000099.sp47.txt
Kreutz,3635,spex,sp47,a003635.sp47.txt
Abundantia,151,spex,sp47,a000151.sp47.txt
Parthenope,11,spex,sp47,a000011.sp47.txt
Isabella,210,spex,sp47,a000210.sp47.txt
2012 JT17,467963,spex,sp223,a467963.sp223.txt
Poseidon,4341,spex,sp223,a004341.sp223.txt
1990 SN,178293,spex,sp223,a178293.sp223.txt
2000 DV117,222205,spex,sp223,a222205.sp223.txt
2006 RF19,330250,spex,sp223,a330250.sp223.txt
2001 FZ6,171819,spex,sp223,a171819.sp223.txt
1991 VK,7341,spex,sp223,a007341.sp223.txt
2002 XQ14,226237,spex,sp223,a226237.sp223.txt
2002 RW40,220038,spex,sp223,a220038.sp223.txt
1998 UO1,137032,spex,sp223,a137032.sp223.txt
2005 TF,,spex,sp223,au2005TF.sp223.txt
2011 DU,462959,spex,sp223,a462959.sp223.txt
Eros,433,spex,sp223,a000433.sp223.txt
1998 VR,162142,spex,sp223,a162142.sp223.txt
2021 LG2,,spex,sp282,au2021lg2.sp282n2.txt
2000 LY27,67367,spex,sp282,a067367.sp282n2.txt
2002 LY45,89958,spex,sp282,a089958.sp282n2.txt
2004 LJ,366746,spex,sp282,a366746.sp282n1.txt
2005 LW,374267,spex,sp282,a374267.sp282n1.txt
Elisabetha,412,spex,sp282,a000412.sp282n2.txt
2001 NZ1,480856,spex,sp282,a480856.sp282n1.txt
